"","Victims_of_intentional_homicide","Persons_convicted_for_intentional_homicide","Corruption","Smuggling_of_migrants","Burglary","Theft","Theft_of_a_motorized_vehicle","Fraud","Money_laundering","Serious_assault","Kidnapping","Rape","Sexual_assault","Sexual_Exploitation"
"ALB",0.00697793904564626,0.0137918003000337,0.170653036120528,0.0604516687274419,0.0877850787501355,0.355478951512083,0.017209924829104,0.140137959322704,0.0686950780993661,0.022127046208848,0.000578484868205194,0.00824340937192383,0.0161975763097451,0.0316720465342337
"AUT",0.000318506670965331,0.000112888440342139,0.0126118858349795,0.0375535764279165,0.202738619879509,0.397117010737138,0.0127713229654703,0.287923017008669,0.00308653932104036,0.0176770808267264,0.000036793183959423,0.00840111033740135,0.0104983218230884,0.00915332654279391
"BIH",0.00376756481826144,0.00925744498201377,0.0740417947463641,0.00661468483324867,0.407549936500151,0.329347291616755,0.0220845122658465,0.0623060635905996,0.0121624850159736,0.0538776748514609,0.0012802615806288,0.00256052316125758,0.0132293696664976,0.00192039237094319
"BGR",0.00180777297935088,0.00104660540909786,0.0127842251552321,0.0200381956084819,0.103901755006941,0.676319027406935,0.0360065068042491,0.0550392015578244,0.000981560358360501,0.0749576946835804,0.00198706121326643,0.00229828766835635,0.0112759738728734,0.00155613227544961
"HRV",0.00115016898025872,0.00274556466255302,0.0426926897814758,0.0328737308005636,0.257379012701122,0.398764828649722,0.0612516012618809,0.125452486906304,0.00284138373440319,0.0279822347514642,0.00000144959395497854,0.0128401771288855,0.0119769719437502,0.0220476991036604
"CZE",0.000885020352363042,0.000885020352363032,0.0164683905570798,0.00279246622489613,0.345222472858031,0.355696778404899,0.0354735269887904,0.164683905570793,0.0070681104813306,0.042664383238248,0.0000204576280212177,0.0175219584001725,0.000920593260954755,0.00969691568205697
"DNK",0.000223995756076232,0.000127445861215784,0.0134907835940554,0.000592958888219031,0.122424694901641,0.568205761297114,0.00463128020537096,0.221615477810642,0.0228773615500464,0.00836343320769076,0.00000513490777084988,0.0109716772061969,0.0134287748214315,0.0130412199925301
"EST",0.00113375265328237,0.00164394134725943,0.00952295293694149,0.0000577148662844924,0.34062975729989,0.463277231665629,0.00525205283188895,0.150751230735092,0.00115429732568988,0.00334746224450064,0.000000765334910149525,0.00877265967524309,0.00831094074496716,0.00614524033842168
"FIN",0.000338722151174902,0.000245450834184706,0.0181188034046813,0.000503300094574474,0.0286683681321345,0.615930760836811,0.0271535335337583,0.266038508814479,0.00456917536839195,0.00851662709054458,0.00000986862930538255,0.00899525561185577,0.0162092236340901,0.00470240186401454
"FRA",0.00032371349801007,0.000164573131302758,0.00101252556746901,0.0017027736280399,0.119779671942703,0.539067965139303,0.0322547689132735,0.104931049193889,0.00116982287008298,0.158442863689329,0.00152833542419321,0.0154038134852892,0.0191979538205778,0.00502016969653662
"DEU",0.000279312523338384,0.000115226594904897,0.00202373141748966,0.00202701669576477,0.107019993111787,0.428682410350855,0.0202085679899889,0.329107679130108,0.00928666036426772,0.059407276389672,0.00200853700546713,0.00515706557240979,0.0152486191140881,0.0194279037398575
"GRC",0.00098467421068961,0.00185152415685224,0.00550177961314003,0.0124718255647562,0.12002655401427,0.600217153194243,0.155180563014791,0.0867796035913041,0.00103791241168133,0.0112482702826927,0.00082695460442903,0.00280995799260069,0.000160327933511747,0.000902899415039849
"HUN",0.000775801033705018,0.000569470971549411,0.00890896358213822,0.0136400963575312,0.235369711313012,0.389845340692372,0.0270490126223679,0.167145307746248,0.00427405723607532,0.130355141158123,0.0000561320837758504,0.00470707616806049,0.013599171505835,0.00370471752920602
"ISL",0.000679302906902581,0.000000645941492015911,0.00416078409088523,0.000519665398505988,0.188118874259166,0.591379223499816,0.00381087958904397,0.0945791025280886,0.0270226007223125,0.0252903827272915,0.0000000289217506454368,0.0443447806725118,0.0142041875591639,0.00588954118306794
"IRL",0.000449569246022808,0.000114426192095254,0.0000415770400395013,0.000433280752757547,0.0954400954106749,0.647375301935055,0.0427100143805776,0.10660353066128,0.005664871705382,0.0633218319801599,0.000945877660898677,0.0114544745308827,0.0215473010004718,0.00389784750370324
"ITA",0.000195049669472983,0.000135164003185967,0.0022455952734597,0.00107538994572108,0.0818483080303593,0.516866786135935,0.0769313658325748,0.25092309724396,0.000954882653737558,0.0384259216270545,0.0000880865484549737,0.00631256161615089,0.0226232742367514,0.00137451718318278
"LVA",0.00381147483946232,0.00534744231208146,0.0115066829197569,0.000456836368084595,0.16068880318595,0.558565613089703,0.0293160213081241,0.13495777856639,0.0270031202187262,0.0311663421796427,0.000636047799584561,0.0139930515908601,0.00982982962994306,0.012720955991691
"LTU",0.00394805453784773,0.00465516878343236,0.0316884283900838,0.0202805941696538,0.0490114359099957,0.581135597218527,0.0243246412213403,0.239504159717801,0.00229363862632989,0.00875204212678501,0.00000165990325592944,0.00404404705168689,0.0044665594302213,0.02589397291304
"LUX",0.00034495343456913,0.000172476717284561,0.000000225362390721949,0.000133441171451432,0.142330698171666,0.565982023243032,0.0835192360909538,0.163175707512698,0.00000321943897641842,0.0242205784663769,0.00180958344863738,0.00455875830329801,0.0135055008667324,0.000243597771931952
"MLT",0.00116956936125944,0.000146196170157426,0.0033303928711409,0.00159279659054562,0.129740522284443,0.51896208913778,0.0448879039153774,0.226177115857475,0.0188239597064488,0.0318559318109125,0.000000772196475077964,0.0056471879119346,0.0147695683850599,0.00289599380099209
"MNE",0.0116053471677833,0.00217600259395932,0.238879493670306,0.00639855786616891,0.328459303796666,0.241723297166383,0.0234613788426194,0.0277270840867318,0.00142190174803752,0.0910017118744022,0.000710950874018788,0.0113752139843005,0.0142190174803757,0.000840738848247988
"NLD",0.000362727566975687,0.00183646684259015,0.0140016588838173,0.000157728751969129,0.0964860390119368,0.602614332625677,0.0693618651077372,0.181311399995131,0.00396907597168228,0.0126829430886655,0.000822314818008539,0.00745979425296639,0.0076278658739172,0.0013057872089248
